Question Column,PROLIFIC_PID,Accuracy,time
SBQ1,5f18348b01348e0716a1978a,1,48.729
SBQ1,5f315af6d221ae0e7843dc13,1,30.375
SBQ1,604261cfffdadc107f6b29c2,1,82.68
SBQ1,5fc803acace3cd0fe2b214c5,1,46.866
SBQ1,5e569011c0486f03a51801b5,1,16.405
SBQ1,5b7a0bb43c13750001982223,0,37.556
SBQ1,617598d967559810c706d5a5,0,26.699
SBQ1,5e3182adf6bb2315a48da619,0,47.575
SBQ1,5f6785ff73bbcf3923de77cc,1,78.566
SBQ1,6134d21dcb8ab807bad2df99,1,68.102
SBQ1,6140ef6c6783290ec216b9cb,0,24.066
SBQ1,61196ccab9b0c6a17c0e9b3b,1,41.21
SBQ1,611a78efa6c36a674dc40cc6,1,21.535
SBQ1,5d8a8df05722b400010ae948,1,48.016
SBQ1,6154b3a7e4bc93e1ce93c6bc,0,21.903
SBQ1,64c9286ef7a221c5a8f1b8a1,1,154.882
SBQ1,613284d37713a1645330938f,1,88.092
SBQ1,60d3acd071e98de7a42743ac,1,277.27
SBQ1,5f8f7b6a2650711e2238f6d5,1,29.338
SBQ1,6165cc70337bed7476a20f97,1,86.768
SBQ1,5f1caf052171f856a1e484d2,0,108.586
SBQ1,61572b39d8a0be3869ccd5ae,1,30.567
SBQ1,60be61231b34e6b2bf1e76ab,0,47.115
SBQ1,60f1f1d4ac991a259b83f603,0,117.233
SBQ1,5b16bc7644127b00013f7245,1,57.47
SBQ1,6158031479297ac1c777b5dc,1,43.757
SBQ1,5ed7239e4aaed51a7d11e94e,0,50.682
SBQ1,60c3c8f790736ad8d329816b,0,73.151
SBQ1,60decd2097f9a85cd3a908b0,0,70.056
SBQ1,6133d4312b2821322655a70d,0,28.329
SBQ1,613a930ddceaa99a97d512bb,0,55.746
SBQ1,61053334bb5ec9d6f2918ba1,0,75.351
SBQ1,5eab7843de4724150babfd6b,0,1011.776
SBQ1,6480fdb35359bd308df67b77,0,244.769
SBQ1,5bf725d2120df400011a6dca,1,125.882
SBQ1,64eb55ead08d423f0081c8f5,0,143.458
SBQ1,5f7f6ea18b9c4a117d887a3f,1,84.641
SBQ1,613a6f333eacb2c4641d0540,1,47.116
SBQ1,614397e06d85fcb10c7c9087,0,125.9
SBQ1,60b94f837bfda8b1977feef0,0,124.555
SBQ1,5e0a095a54ff2329aa070d54,0,74.953
SBQ1,5bdf91dbb32fa800012ea282,1,210.366
SBQ2,5f18348b01348e0716a1978a,1,12.591
SBQ2,5f315af6d221ae0e7843dc13,0,17.826
SBQ2,604261cfffdadc107f6b29c2,0,26.726
SBQ2,5fc803acace3cd0fe2b214c5,0,14.317
SBQ2,5e569011c0486f03a51801b5,1,17.406
SBQ2,5b7a0bb43c13750001982223,1,26.411
SBQ2,617598d967559810c706d5a5,1,28.511
SBQ2,5e3182adf6bb2315a48da619,1,15.628
SBQ2,5f6785ff73bbcf3923de77cc,1,16.695
SBQ2,6134d21dcb8ab807bad2df99,1,27.998
SBQ2,6140ef6c6783290ec216b9cb,0,25.478
SBQ2,61196ccab9b0c6a17c0e9b3b,0,26.491
SBQ2,611a78efa6c36a674dc40cc6,0,19.67
SBQ2,5d8a8df05722b400010ae948,1,54.284
SBQ2,6154b3a7e4bc93e1ce93c6bc,0,25.929
SBQ2,64c9286ef7a221c5a8f1b8a1,1,73.076
SBQ2,613284d37713a1645330938f,1,18.696
SBQ2,60d3acd071e98de7a42743ac,1,17.374
SBQ2,5f8f7b6a2650711e2238f6d5,0,6.081
SBQ2,6165cc70337bed7476a20f97,1,18.532
SBQ2,5f1caf052171f856a1e484d2,0,21.289
SBQ2,61572b39d8a0be3869ccd5ae,1,26.117
SBQ2,60be61231b34e6b2bf1e76ab,0,15.921
SBQ2,60f1f1d4ac991a259b83f603,1,48.437
SBQ2,5b16bc7644127b00013f7245,1,45.966
SBQ2,6158031479297ac1c777b5dc,0,95.313
SBQ2,5ed7239e4aaed51a7d11e94e,1,58.653
SBQ2,60c3c8f790736ad8d329816b,1,48.501
SBQ2,60decd2097f9a85cd3a908b0,1,45.696
SBQ2,6133d4312b2821322655a70d,1,54.436
SBQ2,613a930ddceaa99a97d512bb,0,29.311
SBQ2,61053334bb5ec9d6f2918ba1,1,42.398
SBQ2,5eab7843de4724150babfd6b,1,20.594
SBQ2,6480fdb35359bd308df67b77,0,39.683
SBQ2,5bf725d2120df400011a6dca,1,14.699
SBQ2,64eb55ead08d423f0081c8f5,0,20.146
SBQ2,5f7f6ea18b9c4a117d887a3f,0,49.945
SBQ2,613a6f333eacb2c4641d0540,0,38.076
SBQ2,614397e06d85fcb10c7c9087,0,44.816
SBQ2,60b94f837bfda8b1977feef0,0,30.822
SBQ2,5e0a095a54ff2329aa070d54,1,9.007
SBQ2,5bdf91dbb32fa800012ea282,1,52.665
SBQ3,5f18348b01348e0716a1978a,1,19.393
SBQ3,5f315af6d221ae0e7843dc13,0,41.165
SBQ3,604261cfffdadc107f6b29c2,0,12.737
SBQ3,5fc803acace3cd0fe2b214c5,0,31.801
SBQ3,5e569011c0486f03a51801b5,1,9.247
SBQ3,5b7a0bb43c13750001982223,1,81.083
SBQ3,617598d967559810c706d5a5,1,18.343
SBQ3,5e3182adf6bb2315a48da619,1,50.866
SBQ3,5f6785ff73bbcf3923de77cc,1,31.506
SBQ3,6134d21dcb8ab807bad2df99,0,125.124
SBQ3,6140ef6c6783290ec216b9cb,0,16.839
SBQ3,61196ccab9b0c6a17c0e9b3b,0,23.8
SBQ3,611a78efa6c36a674dc40cc6,0,22.925
SBQ3,5d8a8df05722b400010ae948,1,55.139
SBQ3,6154b3a7e4bc93e1ce93c6bc,0,31.866
SBQ3,64c9286ef7a221c5a8f1b8a1,1,22.321
SBQ3,613284d37713a1645330938f,0,22.714
SBQ3,60d3acd071e98de7a42743ac,1,49.408
SBQ3,5f8f7b6a2650711e2238f6d5,0,34.695
SBQ3,6165cc70337bed7476a20f97,1,37.762
SBQ3,5f1caf052171f856a1e484d2,0,15.408
SBQ3,61572b39d8a0be3869ccd5ae,1,22.903
SBQ3,60be61231b34e6b2bf1e76ab,0,50.696
SBQ3,60f1f1d4ac991a259b83f603,0,48.103
SBQ3,5b16bc7644127b00013f7245,0,32.982
SBQ3,6158031479297ac1c777b5dc,1,71.792
SBQ3,5ed7239e4aaed51a7d11e94e,1,50.222
SBQ3,60c3c8f790736ad8d329816b,1,32.02
SBQ3,60decd2097f9a85cd3a908b0,0,18.564
SBQ3,6133d4312b2821322655a70d,1,45.82
SBQ3,613a930ddceaa99a97d512bb,0,166.942
SBQ3,61053334bb5ec9d6f2918ba1,1,46.061
SBQ3,5eab7843de4724150babfd6b,0,5.495
SBQ3,6480fdb35359bd308df67b77,0,39.581
SBQ3,5bf725d2120df400011a6dca,1,17.313
SBQ3,64eb55ead08d423f0081c8f5,0,30.139
SBQ3,5f7f6ea18b9c4a117d887a3f,1,88.326
SBQ3,613a6f333eacb2c4641d0540,0,36.439
SBQ3,614397e06d85fcb10c7c9087,0,36.214
SBQ3,60b94f837bfda8b1977feef0,0,61.858
SBQ3,5e0a095a54ff2329aa070d54,1,15.901
SBQ3,5bdf91dbb32fa800012ea282,1,35.905
SBQ4,5f18348b01348e0716a1978a,0,53.057
SBQ4,5f315af6d221ae0e7843dc13,0,77.044
SBQ4,604261cfffdadc107f6b29c2,0,73.738
SBQ4,5fc803acace3cd0fe2b214c5,1,32.812
SBQ4,5e569011c0486f03a51801b5,1,35.302
SBQ4,5b7a0bb43c13750001982223,1,62.405
SBQ4,617598d967559810c706d5a5,1,54.53
SBQ4,5e3182adf6bb2315a48da619,1,48.658
SBQ4,5f6785ff73bbcf3923de77cc,0,41.471
SBQ4,6134d21dcb8ab807bad2df99,1,66.702
SBQ4,6140ef6c6783290ec216b9cb,0,40.752
SBQ4,61196ccab9b0c6a17c0e9b3b,1,68.768
SBQ4,611a78efa6c36a674dc40cc6,1,38.247
SBQ4,5d8a8df05722b400010ae948,1,78.326
SBQ4,6154b3a7e4bc93e1ce93c6bc,0,54.986
SBQ4,64c9286ef7a221c5a8f1b8a1,1,128.768
SBQ4,613284d37713a1645330938f,1,68.938
SBQ4,60d3acd071e98de7a42743ac,1,123.513
SBQ4,5f8f7b6a2650711e2238f6d5,0,663.027
SBQ4,6165cc70337bed7476a20f97,1,105.125
SBQ4,5f1caf052171f856a1e484d2,1,62.294
SBQ4,61572b39d8a0be3869ccd5ae,1,26.453
SBQ4,60be61231b34e6b2bf1e76ab,1,78.089
SBQ4,60f1f1d4ac991a259b83f603,0,45.207
SBQ4,5b16bc7644127b00013f7245,1,50.825
SBQ4,6158031479297ac1c777b5dc,0,47.367
SBQ4,5ed7239e4aaed51a7d11e94e,1,319.391
SBQ4,60c3c8f790736ad8d329816b,1,73.198
SBQ4,60decd2097f9a85cd3a908b0,1,73.199
SBQ4,6133d4312b2821322655a70d,1,79.838
SBQ4,613a930ddceaa99a97d512bb,0,87.596
SBQ4,61053334bb5ec9d6f2918ba1,1,106.022
SBQ4,5eab7843de4724150babfd6b,0,34.885
SBQ4,6480fdb35359bd308df67b77,1,193.987
SBQ4,5bf725d2120df400011a6dca,1,78.325
SBQ4,64eb55ead08d423f0081c8f5,1,84.489
SBQ4,5f7f6ea18b9c4a117d887a3f,0,91.323
SBQ4,613a6f333eacb2c4641d0540,1,34.788
SBQ4,614397e06d85fcb10c7c9087,0,103.401
SBQ4,60b94f837bfda8b1977feef0,1,205.632
SBQ4,5e0a095a54ff2329aa070d54,0,16.836
SBQ4,5bdf91dbb32fa800012ea282,1,68.124
SBQ5,5f18348b01348e0716a1978a,0,11.581
SBQ5,5f315af6d221ae0e7843dc13,0,16.182
SBQ5,604261cfffdadc107f6b29c2,0,16.6
SBQ5,5fc803acace3cd0fe2b214c5,1,19.321
SBQ5,5e569011c0486f03a51801b5,0,24.296
SBQ5,5b7a0bb43c13750001982223,1,23.178
SBQ5,617598d967559810c706d5a5,0,12.435
SBQ5,5e3182adf6bb2315a48da619,1,16.022
SBQ5,5f6785ff73bbcf3923de77cc,0,20.771
SBQ5,6134d21dcb8ab807bad2df99,1,43.364
SBQ5,6140ef6c6783290ec216b9cb,0,13.252
SBQ5,61196ccab9b0c6a17c0e9b3b,0,78.994
SBQ5,611a78efa6c36a674dc40cc6,0,15.935
SBQ5,5d8a8df05722b400010ae948,1,34.0
SBQ5,6154b3a7e4bc93e1ce93c6bc,0,16.325
SBQ5,64c9286ef7a221c5a8f1b8a1,1,23.843
SBQ5,613284d37713a1645330938f,1,35.266
SBQ5,60d3acd071e98de7a42743ac,1,32.48
SBQ5,5f8f7b6a2650711e2238f6d5,0,12.759
SBQ5,6165cc70337bed7476a20f97,0,44.436
SBQ5,5f1caf052171f856a1e484d2,0,73.423
SBQ5,61572b39d8a0be3869ccd5ae,0,11.972
SBQ5,60be61231b34e6b2bf1e76ab,0,30.775
SBQ5,60f1f1d4ac991a259b83f603,0,170.559
SBQ5,5b16bc7644127b00013f7245,0,251.01
SBQ5,6158031479297ac1c777b5dc,1,35.506
SBQ5,5ed7239e4aaed51a7d11e94e,1,42.834
SBQ5,60c3c8f790736ad8d329816b,0,41.881
SBQ5,60decd2097f9a85cd3a908b0,0,52.874
SBQ5,6133d4312b2821322655a70d,1,19.851
SBQ5,613a930ddceaa99a97d512bb,0,30.528
SBQ5,61053334bb5ec9d6f2918ba1,0,76.956
SBQ5,5eab7843de4724150babfd6b,0,405.326
SBQ5,6480fdb35359bd308df67b77,0,58.214
SBQ5,5bf725d2120df400011a6dca,1,55.695
SBQ5,64eb55ead08d423f0081c8f5,0,79.321
SBQ5,5f7f6ea18b9c4a117d887a3f,0,81.603
SBQ5,613a6f333eacb2c4641d0540,0,37.865
SBQ5,614397e06d85fcb10c7c9087,0,85.771
SBQ5,60b94f837bfda8b1977feef0,0,107.342
SBQ5,5e0a095a54ff2329aa070d54,1,18.791
SBQ5,5bdf91dbb32fa800012ea282,1,49.881
SAQ1,5ebf2540dc45b2302a7118f9,0,17.796
SAQ1,5eac9ad77c0fb830e457d0c6,1,53.909
SAQ1,5f24978b3b9626088ac0eeb7,0,13.479
SAQ1,5cb4adc019ee7300189e8547,0,25.597
SAQ1,5f0e0e058a700b10c7ac250f,0,12.972
SAQ1,5bde1e00ddec0b00013494d3,0,29.388
SAQ1,61489f86e02baa417fcc98b2,0,22.884
SAQ1,613a3fa3cd445d55f2e1a486,0,61.664
SAQ1,60309b6162da62f3898324d4,0,44.895
SAQ1,6033f09832d8421272da43ac,0,17.338
SAQ1,616f94cd9cd003d37c9db38c,0,17.821
SAQ1,5d0aa9aa5047d20018b8490d,0,29.531
SAQ1,5eaf44985f544b0009fd08b6,0,33.81
SAQ1,5e2881eaa9af590560d04047,0,23.716
SAQ1,59987d310ed7ae0001991afa,0,50.595
SAQ1,611a78efa6c36a674dc40cc6,0,40.3
SAQ1,61230876ad65890ff8619511,1,20.699
SAQ1,61413300c9d2346cfb3d9ca5,0,48.608
SAQ1,608c64e14968cdd8dcbe1be4,0,36.952
SAQ1,64c9286ef7a221c5a8f1b8a1,1,39.267
SAQ1,5a5110bb76d1c60001aaa059,0,41.322
SAQ1,60c786784d9c439658d4600a,0,45.386
SAQ1,6160c25a14f8a02a8b63f024,0,72.809
SAQ1,5f8f7b6a2650711e2238f6d5,0,38.673
SAQ1,61690cac90729702f4d563de,0,43.281
SAQ1,60be61231b34e6b2bf1e76ab,0,63.991
SAQ1,5fec281aeae543d80d09fbc0,0,84.936
SAQ1,5f45772f6c74b91760652841,0,35.475
SAQ1,6133d4312b2821322655a70d,1,26.149
SAQ1,61545919a17f1331cb7b33a7,0,39.603
SAQ1,60d1ddaca95145c1433a9c87,0,46.817
SAQ1,6480fdb35359bd308df67b77,0,38.448
SAQ1,612fa61dd0fc020053aa94dd,0,131.186
SAQ1,60fb5516e04ddad82ee75e7f,0,54.886
SAQ1,610d73cf15869b837eff907e,0,23.31
SAQ1,613d20af66c5431995b4cbdc,0,30.553
SAQ1,60b94f837bfda8b1977feef0,0,54.457
SAQ1,62d5cef0d9f0379a81a33cf1,0,15.253
SAQ1,648b962b8fdb1fa686213ac1,0,30.019
SAQ2,5ebf2540dc45b2302a7118f9,0,14.439
SAQ2,5eac9ad77c0fb830e457d0c6,1,29.663
SAQ2,5f24978b3b9626088ac0eeb7,0,24.869
SAQ2,5cb4adc019ee7300189e8547,0,18.671
SAQ2,5f0e0e058a700b10c7ac250f,0,25.576
SAQ2,5bde1e00ddec0b00013494d3,1,12.45
SAQ2,61489f86e02baa417fcc98b2,0,24.974
SAQ2,613a3fa3cd445d55f2e1a486,0,41.978
SAQ2,60309b6162da62f3898324d4,0,48.541
SAQ2,6033f09832d8421272da43ac,1,22.175
SAQ2,616f94cd9cd003d37c9db38c,0,14.87
SAQ2,5d0aa9aa5047d20018b8490d,0,13.957
SAQ2,5eaf44985f544b0009fd08b6,0,85.592
SAQ2,5e2881eaa9af590560d04047,0,74.909
SAQ2,59987d310ed7ae0001991afa,0,11.424
SAQ2,611a78efa6c36a674dc40cc6,0,26.146
SAQ2,61230876ad65890ff8619511,1,25.943
SAQ2,61413300c9d2346cfb3d9ca5,0,51.15
SAQ2,608c64e14968cdd8dcbe1be4,0,64.727
SAQ2,64c9286ef7a221c5a8f1b8a1,1,18.953
SAQ2,5a5110bb76d1c60001aaa059,0,31.282
SAQ2,60c786784d9c439658d4600a,0,76.22
SAQ2,6160c25a14f8a02a8b63f024,1,33.702
SAQ2,5f8f7b6a2650711e2238f6d5,0,35.212
SAQ2,61690cac90729702f4d563de,0,30.977
SAQ2,60be61231b34e6b2bf1e76ab,0,32.757
SAQ2,5fec281aeae543d80d09fbc0,0,16.085
SAQ2,5f45772f6c74b91760652841,0,23.681
SAQ2,6133d4312b2821322655a70d,1,30.353
SAQ2,61545919a17f1331cb7b33a7,0,143.1
SAQ2,60d1ddaca95145c1433a9c87,0,160.957
SAQ2,6480fdb35359bd308df67b77,0,86.981
SAQ2,612fa61dd0fc020053aa94dd,0,60.83
SAQ2,60fb5516e04ddad82ee75e7f,0,61.356
SAQ2,610d73cf15869b837eff907e,0,32.671
SAQ2,613d20af66c5431995b4cbdc,1,53.725
SAQ2,60b94f837bfda8b1977feef0,0,121.919
SAQ2,62d5cef0d9f0379a81a33cf1,0,25.512
SAQ2,648b962b8fdb1fa686213ac1,0,60.453
SAQ3,5ebf2540dc45b2302a7118f9,1,16.996
SAQ3,5eac9ad77c0fb830e457d0c6,1,13.01
SAQ3,5f24978b3b9626088ac0eeb7,1,15.731
SAQ3,5cb4adc019ee7300189e8547,1,18.492
SAQ3,5f0e0e058a700b10c7ac250f,1,45.187
SAQ3,5bde1e00ddec0b00013494d3,1,28.535
SAQ3,61489f86e02baa417fcc98b2,1,27.014
SAQ3,613a3fa3cd445d55f2e1a486,1,40.47
SAQ3,60309b6162da62f3898324d4,1,41.293
SAQ3,6033f09832d8421272da43ac,1,22.289
SAQ3,616f94cd9cd003d37c9db38c,1,8.951
SAQ3,5d0aa9aa5047d20018b8490d,1,13.425
SAQ3,5eaf44985f544b0009fd08b6,1,31.578
SAQ3,5e2881eaa9af590560d04047,1,15.961
SAQ3,59987d310ed7ae0001991afa,1,11.379
SAQ3,611a78efa6c36a674dc40cc6,1,12.258
SAQ3,61230876ad65890ff8619511,0,56.247
SAQ3,61413300c9d2346cfb3d9ca5,1,24.945
SAQ3,608c64e14968cdd8dcbe1be4,1,26.064
SAQ3,64c9286ef7a221c5a8f1b8a1,0,28.945
SAQ3,5a5110bb76d1c60001aaa059,1,12.418
SAQ3,60c786784d9c439658d4600a,1,35.884
SAQ3,6160c25a14f8a02a8b63f024,1,28.46
SAQ3,5f8f7b6a2650711e2238f6d5,1,69.093
SAQ3,61690cac90729702f4d563de,1,43.703
SAQ3,60be61231b34e6b2bf1e76ab,1,39.294
SAQ3,5fec281aeae543d80d09fbc0,1,23.018
SAQ3,5f45772f6c74b91760652841,1,33.383
SAQ3,6133d4312b2821322655a70d,0,37.534
SAQ3,61545919a17f1331cb7b33a7,1,49.748
SAQ3,60d1ddaca95145c1433a9c87,1,34.3
SAQ3,6480fdb35359bd308df67b77,1,24.256
SAQ3,612fa61dd0fc020053aa94dd,1,37.897
SAQ3,60fb5516e04ddad82ee75e7f,1,40.244
SAQ3,610d73cf15869b837eff907e,1,165.643
SAQ3,613d20af66c5431995b4cbdc,1,15.631
SAQ3,60b94f837bfda8b1977feef0,1,34.57
SAQ3,62d5cef0d9f0379a81a33cf1,1,17.035
SAQ3,648b962b8fdb1fa686213ac1,1,24.593
SAQ4,5ebf2540dc45b2302a7118f9,1,13.766
SAQ4,5eac9ad77c0fb830e457d0c6,1,7.698
SAQ4,5f24978b3b9626088ac0eeb7,1,23.176
SAQ4,5cb4adc019ee7300189e8547,1,14.92
SAQ4,5f0e0e058a700b10c7ac250f,1,34.6
SAQ4,5bde1e00ddec0b00013494d3,0,48.201
SAQ4,61489f86e02baa417fcc98b2,1,18.09
SAQ4,613a3fa3cd445d55f2e1a486,1,49.332
SAQ4,60309b6162da62f3898324d4,1,20.397
SAQ4,6033f09832d8421272da43ac,1,19.232
SAQ4,616f94cd9cd003d37c9db38c,1,16.206
SAQ4,5d0aa9aa5047d20018b8490d,1,20.8
SAQ4,5eaf44985f544b0009fd08b6,1,26.753
SAQ4,5e2881eaa9af590560d04047,1,17.312
SAQ4,59987d310ed7ae0001991afa,1,32.502
SAQ4,611a78efa6c36a674dc40cc6,1,158.76
SAQ4,61230876ad65890ff8619511,1,95.982
SAQ4,61413300c9d2346cfb3d9ca5,1,52.244
SAQ4,608c64e14968cdd8dcbe1be4,1,14.101
SAQ4,64c9286ef7a221c5a8f1b8a1,1,36.52
SAQ4,5a5110bb76d1c60001aaa059,1,36.499
SAQ4,60c786784d9c439658d4600a,1,15.811
SAQ4,6160c25a14f8a02a8b63f024,1,19.801
SAQ4,5f8f7b6a2650711e2238f6d5,1,20.06
SAQ4,61690cac90729702f4d563de,1,34.401
SAQ4,60be61231b34e6b2bf1e76ab,1,45.016
SAQ4,5fec281aeae543d80d09fbc0,1,46.763
SAQ4,5f45772f6c74b91760652841,1,21.378
SAQ4,6133d4312b2821322655a70d,1,152.919
SAQ4,61545919a17f1331cb7b33a7,1,55.65
SAQ4,60d1ddaca95145c1433a9c87,1,18.613
SAQ4,6480fdb35359bd308df67b77,1,45.136
SAQ4,612fa61dd0fc020053aa94dd,1,33.81
SAQ4,60fb5516e04ddad82ee75e7f,1,25.212
SAQ4,610d73cf15869b837eff907e,1,285.286
SAQ4,613d20af66c5431995b4cbdc,1,20.027
SAQ4,60b94f837bfda8b1977feef0,1,221.045
SAQ4,62d5cef0d9f0379a81a33cf1,1,31.844
SAQ4,648b962b8fdb1fa686213ac1,1,42.517
SAQ5,5ebf2540dc45b2302a7118f9,0,11.472
SAQ5,5eac9ad77c0fb830e457d0c6,0,11.263
SAQ5,5f24978b3b9626088ac0eeb7,0,22.085
SAQ5,5cb4adc019ee7300189e8547,0,37.317
SAQ5,5f0e0e058a700b10c7ac250f,0,7.164
SAQ5,5bde1e00ddec0b00013494d3,0,41.058
SAQ5,61489f86e02baa417fcc98b2,0,21.095
SAQ5,613a3fa3cd445d55f2e1a486,0,22.321
SAQ5,60309b6162da62f3898324d4,0,22.359
SAQ5,6033f09832d8421272da43ac,0,22.324
SAQ5,616f94cd9cd003d37c9db38c,0,11.939
SAQ5,5d0aa9aa5047d20018b8490d,0,25.947
SAQ5,5eaf44985f544b0009fd08b6,0,16.723
SAQ5,5e2881eaa9af590560d04047,0,34.452
SAQ5,59987d310ed7ae0001991afa,0,19.52
SAQ5,611a78efa6c36a674dc40cc6,0,30.212
SAQ5,61230876ad65890ff8619511,1,47.37
SAQ5,61413300c9d2346cfb3d9ca5,0,21.639
SAQ5,608c64e14968cdd8dcbe1be4,0,47.7
SAQ5,64c9286ef7a221c5a8f1b8a1,1,49.707
SAQ5,5a5110bb76d1c60001aaa059,0,37.978
SAQ5,60c786784d9c439658d4600a,0,108.479
SAQ5,6160c25a14f8a02a8b63f024,0,20.611
SAQ5,5f8f7b6a2650711e2238f6d5,0,15.332
SAQ5,61690cac90729702f4d563de,0,39.096
SAQ5,60be61231b34e6b2bf1e76ab,0,41.817
SAQ5,5fec281aeae543d80d09fbc0,0,22.234
SAQ5,5f45772f6c74b91760652841,0,23.353
SAQ5,6133d4312b2821322655a70d,1,63.767
SAQ5,61545919a17f1331cb7b33a7,0,46.799
SAQ5,60d1ddaca95145c1433a9c87,0,54.49
SAQ5,6480fdb35359bd308df67b77,0,21.448
SAQ5,612fa61dd0fc020053aa94dd,0,37.214
SAQ5,60fb5516e04ddad82ee75e7f,1,37.469
SAQ5,610d73cf15869b837eff907e,0,60.534
SAQ5,613d20af66c5431995b4cbdc,0,68.308
SAQ5,60b94f837bfda8b1977feef0,0,43.685
SAQ5,62d5cef0d9f0379a81a33cf1,1,15.411
SAQ5,648b962b8fdb1fa686213ac1,0,21.771
SPQ1,5fbbde667818f3dc301f6647,1,12.111
SPQ1,60c03680dc5dfe4723659602,1,13.7
SPQ1,5f0b615844c42c2bc9b39df4,1,31.401
SPQ1,63469117956f3451ba159ff8,1,12.054
SPQ1,5fc803acace3cd0fe2b214c5,1,11.524
SPQ1,5bde1e00ddec0b00013494d3,1,31.867
SPQ1,5b3216e0a8327d0001001dc0,1,13.437
SPQ1,58dd0b15402260000102895b,1,16.873
SPQ1,6033f09832d8421272da43ac,1,18.452
SPQ1,5e8bbf2d430dd50008c4fccc,1,50.361
SPQ1,5d6d82acab68f90001f53194,1,11.828
SPQ1,60df2a263ca14a01eb3d4732,1,15.484
SPQ1,60d4477467e235cde30140a9,1,14.78
SPQ1,5b6f07e3601c8600019328de,1,9.249
SPQ1,5f33e30b15e48023096678e4,1,33.319
SPQ1,59987d310ed7ae0001991afa,1,21.327
SPQ1,629635e6104b144684c6e015,1,37.959
SPQ1,61183bece4c3e63512e3eb5d,1,18.3
SPQ1,6169e8a8311d269013eb73c7,1,30.802
SPQ1,61413300c9d2346cfb3d9ca5,1,25.576
SPQ1,61645f61082ddd043101a1e6,1,23.675
SPQ1,5c49c9ebe02ead00019b0a5b,1,26.674
SPQ1,61572b39d8a0be3869ccd5ae,1,10.783
SPQ1,5e8e38da572c650e2ede51c9,1,58.594
SPQ1,611cecbdfd30c0b2cea5e0bc,1,36.09
SPQ1,60fb690497b26a3c1c6b8c0b,1,25.246
SPQ1,60f1f1d4ac991a259b83f603,1,67.887
SPQ1,6158031479297ac1c777b5dc,1,25.584
